stationId,building,x,y,assetId,assetType,type,size,manufacturer,lastInspection,nextDue,isoCategory,inspectionStickerID,status
ST-5-008,5,670,2823,5-008-1,extinguisher,Powder,9250,23 | 15259,1/8/2025,1/8/2026,2,233614,good
ST-5-008,5,670,2823,5-M8,hose,Water,30 m,,1/30/2025,1/30/2026,1,-,good
ST-5-009,5,448,2162,5-009-1,extinguisher,,,,1/17/2023,1/17/2024,,213929,good
ST-5-009,5,448,2162,5-009-4,extinguisher,,,,,,,230746,good
ST-5-009,5,448,2162,5-009-3,extinguisher,Powder,9350,12 | 19239,1/8/2025,1/8/2026,2,233603,good
ST-5-009,5,448,2162,5-009-2,extinguisher,Water,13000,13 | 471,1/8/2025,1/8/2026,1,233604,good
ST-5-009,5,448,2162,5-M9,extinguisher,,,,,,,-,good
ST-5-010,5,1467,2167,5-010-1,extinguisher,Powder,9400,18 | 16303,1/8/2025,1/8/2026,2,233609,good
ST-5-010,5,1467,2167,5-010-2,extinguisher,Water,13100,19 | 00464,1/8/2025,1/8/2026,1,233610,good
ST-5-010,5,1467,2167,5-010-3,extinguisher,Powder,9250,20 | 16424,1/8/2025,1/8/2026,2,233611,good
ST-5-010,5,1467,2167,5-M10,hose,Water,30 m,,1/30/2025,1/30/2026,1,-,good
ST-5-011,5,1113,2169,5-011-1,extinguisher,Powder,9200,15 | 19563,1/8/2025,1/8/2026,2,233606,good
ST-5-011,5,1113,2169,5-011-2,extinguisher,Powder,9100,16 | 13975,1/8/2025,1/8/2026,2,233607,good
ST-5-011,5,1113,2169,5-M11,extinguisher,,,,1/30/2025,1/30/2026,,,good
ST-1-033,1,6595,3391,1-033-3,extinguisher,Powder,"17,500",167 | 04512,1/10/2025,1/10/2026,2,233916,good
ST-1-023,1,5850,3315,1-023-1,extinguisher,Powder,"9,400",184 | 01238,1/13/2025,1/13/2026,2,233955,good
ST-1-023,1,5850,3315,1-023-1,extinguisher,CO2,"14,100",183 | 8760,1/13/2025,1/13/2026,5,233954,good
ST-1-023,1,5850,3315,1-M23,hose,30 m,,,9/30/2024,9/30/2025,1,-,good
